Token Index,ICD-9,ICD-10,ICD-10-Align-Hierarchy,SHORT-TITLE
749,7473,Q25.4,Q25.4,other congenital malformations of aorta
750,66582,O7189,O71.89,other specified obstetric trauma
751,36105,H33059,H33.05,total retinal detachment
752,74441,Q180,Q18.0,"sinus, fistula and cyst of branchial cleft"
753,72679,M7750,M77.50,other enthesopathy of unspecified foot and ankle
754,30151,F6812,F68.12,"factitious disorder imposed on self, with predominantly physical signs and symptoms"
755,7864,R093,R09.3,abnormal sputum
756,3694,H548,H54.8,"legal blindness, as defined in usa"
757,1108,B358,B35.8,other dermatophytoses
758,37430,H02409,H02.40,unspecified ptosis of eyelid
759,73719,M40299,M40.29,other kyphosis
760,3349,G119,G11.9,"hereditary ataxia, unspecified"
761,8028,S0292XA,S02.92,unspecified fracture of facial bones
762,9680,T428X4A,T42.8X,"poisoning by, adverse effect of and underdosing of antiparkinsonism drugs and other central muscle-tone depressants"
763,5259,K089,K08.9,"disorder of teeth and supporting structures, unspecified"
764,2153,D2120,D21.20,"benign neoplasm of connective and other soft tissue of unspecified lower limb, including hip"
765,7068,L853,L85.3,xerosis cutis
766,4555,K644,K64.4,residual hemorrhoidal skin tags
767,E8200,V8652XA,V86.52,driver of snowmobile injured in nontraffic accident
768,87371,S01522A,S01.52,laceration of lip and oral cavity with foreign body
769,56971,K91850,K91.85,complications of intestinal pouch
770,77212,P521,P52.1,"intraventricular (nontraumatic) hemorrhage, grade 2, of newborn"
771,E9353,T39.09,T39.09,"poisoning by, adverse effect of and underdosing of other salicylates"
772,5756,K824,K82.4,cholesterolosis of gallbladder
773,1109,B359,B35.9,"dermatophytosis, unspecified"
774,37635,H05269,H05.26,pulsating exophthalmos
775,34670,G43709,G43.70,"chronic migraine without aura, not intractable"
776,9330,T17298A,T17.29,other foreign object in pharynx
777,7218,M489,M48.9,"spondylopathy, unspecified"
778,71591,M1990,M19.90,"unspecified osteoarthritis, unspecified site"
779,E9292,V87.2,V87.2,person injured in collision between car and pick-up truck or van (traffic)
780,82525,S99199A,S99.19,other physeal fracture of metatarsal
781,37311,H00019,H00.01,hordeolum externum
782,E856,T43.1X2A,T43.1X,"poisoning by, adverse effect of and underdosing of monoamine-oxidase-inhibitor antidepressants"
783,V1389,Z87898,Z87.89,personal history of other specified conditions
784,23871,D473,D47.3,essential (hemorrhagic) thrombocythemia
785,74101,Q050,Q05.0,cervical spina bifida with hydrocephalus
786,78839,N39498,N39.49,other specified urinary incontinence
787,5758,K828,K82.8,other specified diseases of gallbladder
788,70711,L97109,L97.10,non-pressure chronic ulcer of unspecified thigh
789,2164,D234,D23.4,other benign neoplasm of skin of scalp and neck
790,82332,S82402B,S82.40,unspecified fracture of shaft of fibula
791,7234,M5413,M54.13,"radiculopathy, cervicothoracic region"
792,94128,T2067XA,T20.67,corrosion of second degree of neck
793,48281,J158,J15.8,pneumonia due to other specified bacteria
794,24220,E0520,E05.20,thyrotoxicosis with toxic multinodular goiter without thyrotoxic crisis or storm
795,7955,R97.8,R97.8,other abnormal tumor markers
796,74763,Q2731,Q27.31,arteriovenous malformation of vessel of upper limb
797,90254,S35516A,S35.51,injury of iliac artery or vein
798,72142,M4716,M47.16,"other spondylosis with myelopathy, lumbar region"
799,83500,S73006A,S73.00,unspecified subluxation and dislocation of hip
800,7788,P8388,P83.88,other specified conditions of integument specific to newborn
801,80024,S066X5A,S06.6X,traumatic subarachnoid hemorrhage
802,2161,D2310,D23.10,"other benign neoplasm of skin of unspecified eyelid, including canthus"
803,E9303,T36.3X,T36.3X,"poisoning by, adverse effect of and underdosing of macrolides"
804,V1506,Z91038,Z91.03,insect allergy status
805,53510,K2950,K29.50,unspecified chronic gastritis without bleeding
806,8191,S5292XB,S52.92,unspecified fracture of left forearm
807,V1254,Z8673,Z86.73,"personal history of transient ischemic attack (tia), and cerebral infarction without residual deficits"
808,74365,Q106,Q10.6,other congenital malformations of lacrimal apparatus
809,5559,K5090,K50.90,"crohn's disease, unspecified, without complications"
810,63421,O0334,O03.34,damage to pelvic organs following incomplete spontaneous abortion
811,6828,L03898,L03.89,acute lymphangitis of other sites
812,7759,P749,P74.9,"transitory metabolic disturbance of newborn, unspecified"
813,1883,C673,C67.3,malignant neoplasm of anterior wall of bladder
814,V1649,Z8049,Z80.49,family history of malignant neoplasm of other genital organs
815,75732,Q825,Q82.5,congenital non-neoplastic nevus
816,3203,G003,G00.3,staphylococcal meningitis
817,64264,O152,O15.2,eclampsia complicating the puerperium
818,84209,S63599A,S63.59,other specified sprain of wrist
819,99661,T827XXA,T82.7,"infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts"
820,V167,Z807,Z80.7,"family history of other malignant neoplasms of lymphoid, hematopoietic and related tissues"
821,7716,P391,P39.1,neonatal conjunctivitis and dacryocystitis
822,4263,I447,I44.7,"left bundle-branch block, unspecified"
823,39890,I099,I09.9,"rheumatic heart disease, unspecified"
824,V421,Z941,Z94.1,heart transplant status
825,4275,I469,I46.9,"cardiac arrest, cause unspecified"
826,3559,G589,G58.9,"mononeuropathy, unspecified"
827,2825,D573,D57.3,sickle-cell trait
828,20042,C8312,C83.12,"mantle cell lymphoma, intrathoracic lymph nodes"
829,4472,I772,I77.2,rupture of artery
830,V5881,Z452,Z45.2,encounter for adjustment and management of vascular access device
831,99693,T870X9,T87.0X,complications of reattached (part of) upper extremity
832,37410,H02109,H02.10,unspecified ectropion of eyelid
833,3100,F070,F07.0,personality change due to known physiological condition
834,36253,H35359,H35.35,cystoid macular degeneration
835,5371,K314,K31.4,gastric diverticulum
836,71690,M129,M12.9,"arthropathy, unspecified"
837,3709,H169,H16.9,unspecified keratitis
838,3379,G909,G90.9,"disorder of the autonomic nervous system, unspecified"
839,7149,M064,M06.4,inflammatory polyarthropathy
840,9779,T50904A,T50.90,"poisoning by, adverse effect of and underdosing of unspecified drugs, medicaments and biological substances"
841,47870,J387,J38.7,other diseases of larynx
842,81341,S52549A,S52.54,smith's fracture
843,E9313,T42.0X,T42.0X,"poisoning by, adverse effect of and underdosing of hydantoin derivatives"
844,8472,S335XXA,S33.5,sprain of ligaments of lumbar spine
845,80626,S24114A,S24.11,complete lesion of thoracic spinal cord
846,V0489,Z23,Z23,encounter for immunization
847,90140,S25409A,S25.40,unspecified injury of pulmonary blood vessels
848,67204,O864,O86.4,pyrexia of unknown origin following delivery
849,24981,E0969,E09.69,drug or chemical induced diabetes mellitus with other specified complication
850,8851,S68529A,S68.52,partial traumatic transphalangeal amputation of thumb
851,7714,P389,P38.9,omphalitis without hemorrhage
852,5988,N358,N35.8,other urethral stricture
853,80032,S06362A,S06.36,"traumatic hemorrhage of cerebrum, unspecified"
854,E9173,W2203XA,W22.03,walked into furniture
855,65963,O09523,O09.52,supervision of elderly multigravida
856,74782,Q279,Q27.9,"congenital malformation of peripheral vascular system, unspecified"
857,6164,N764,N76.4,abscess of vulva
858,V4571,Z9010,Z90.10,acquired absence of unspecified breast and nipple
859,V610,Z63.0,Z63.0,problems in relationship with spouse or partner
860,95914,S39848A,S39.84,other specified injuries of external genitals
861,20490,C9190,C91.90,"lymphoid leukemia, unspecified not having achieved remission"
862,7572,Q828,Q82.8,other specified congenital malformations of skin
863,44324,I7774,I77.74,dissection of vertebral artery
864,3430,G801,G80.1,spastic diplegic cerebral palsy
865,37993,H578,H57.8,other specified disorders of eye and adnexa
866,72610,M7550,M75.50,bursitis of unspecified shoulder
867,78960,R10829,R10.82,rebound abdominal tenderness
868,7806,R50.9,R50.9,"fever, unspecified"
869,7960,R893,R89.3,"abnormal level of substances chiefly nonmedicinal as to source in specimens from other organs, systems and tissues"
870,71944,M25549,M25.54,pain in joints of hand
871,77088,P84,P84,other problems with newborn
872,V422,Z953,Z95.3,presence of xenogenic heart valve
873,E9109,W74XXXA,W74,unspecified cause of accidental drowning and submersion
874,74689,Q248,Q24.8,other specified congenital malformations of heart
875,78491,R0982,R09.82,postnasal drip
876,30461,F1920,F19.20,"other psychoactive substance dependence, uncomplicated"
877,9916,T68XXXA,T68,hypothermia
878,30592,F1910,F19.10,"other psychoactive substance abuse, uncomplicated"
879,77183,R7881,R78.81,bacteremia
880,20003,C8333,C83.33,"diffuse large b-cell lymphoma, intra-abdominal lymph nodes"
881,37702,H4712,H47.12,papilledema associated with decreased ocular pressure
882,5713,K709,K70.9,"alcoholic liver disease, unspecified"
883,7798,P96.8,P96.8,other specified conditions originating in the perinatal period
884,80350,S0291XB,S02.91,unspecified fracture of skull
885,2778,E88.9,E88.9,"metabolic disorder, unspecified"
886,34881,G9381,G93.81,temporal sclerosis
887,43491,I6350,I63.50,cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebral artery
888,42742,I4902,I49.02,ventricular flutter
889,92420,S9030XA,S90.30,contusion of unspecified foot
890,4731,J321,J32.1,chronic frontal sinusitis
891,53300,K270,K27.0,"acute peptic ulcer, site unspecified, with hemorrhage"
892,36210,H3500,H35.00,unspecified background retinopathy
893,71107,M00879,M00.87,"arthritis due to other bacteria, ankle and foot"
894,64111,O4453,O44.53,"low lying placenta with hemorrhage, third trimester"
895,9072,S34139S,S34.13,other and unspecified injury to sacral spinal cord
896,38912,H903,H90.3,"sensorineural hearing loss, bilateral"
897,5940,N210,N21.0,calculus in bladder
898,28863,D72821,D72.82,elevated white blood cell count
899,45352,I825Z9,I82.5Z,chronic embolism and thrombosis of unspecified deep veins of distal lower extremity
900,55012,K4000,K40.00,"bilateral inguinal hernia, with obstruction, without gangrene, not specified as recurrent"
901,9034,S65309A,S65.30,unspecified injury of deep palmar arch
902,2395,D4959,D49.59,neoplasm of unspecified behavior of other genitourinary organ
903,E8548,T43.91,T43.91,"poisoning by unspecified psychotropic drug, accidental (unintentional)"
904,81102,S42136A,S42.13,fracture of coracoid process
905,73743,M4150,M41.50,"other secondary scoliosis, site unspecified"
906,85242,S064X2A,S06.4X,epidural hemorrhage
907,34581,G40804,G40.80,other epilepsy
908,84200,S66919A,S66.91,"strain of unspecified muscle, fascia and tendon at wrist and hand level"
909,9472,T286XXA,T28.6,corrosion of esophagus
910,82003,S72046A,S72.04,fracture of base of neck of femur
911,78001,R4020,R40.20,unspecified coma
912,3361,G9519,G95.19,other vascular myelopathies
913,73022,M869,M86.9,"osteomyelitis, unspecified"
914,2252,D329,D32.9,"benign neoplasm of meninges, unspecified"
915,36859,H5359,H53.59,other color vision deficiencies
916,30490,F1920,F19.20,"other psychoactive substance dependence, uncomplicated"
917,78603,R0681,R06.81,"apnea, not elsewhere classified"
918,32382,G0489,G04.89,other myelitis
919,51636,J84116,J84.11,idiopathic interstitial pneumonia
920,7799,P969,P96.9,"condition originating in the perinatal period, unspecified"
921,8404,S43429A,S43.42,sprain of rotator cuff capsule
922,9941,T751XXA,T75.1,unspecified effects of drowning and nonfatal submersion
923,V4289,Z9489,Z94.89,other transplanted organ and tissue status
924,4464,M3130,M31.30,wegener's granulomatosis without renal involvement
925,79431,R9431,R94.31,abnormal electrocardiogram [ecg] [ekg]
926,3899,H9190,H91.90,"unspecified hearing loss, unspecified ear"
927,36205,E113399,E11.33,type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy
928,7620,P020,P02.0,newborn affected by placenta previa
929,78093,R413,R41.3,other amnesia
930,1884,C674,C67.4,malignant neoplasm of posterior wall of bladder
931,V111,Z658,Z65.8,other specified problems related to psychosocial circumstances
932,86409,S36118A,S36.11,injury of liver
933,2851,D62,D62,acute posthemorrhagic anemia
934,6188,N81.8,N81.8,other female genital prolapse
935,80006,S020XXA,S02.0,fracture of vault of skull
936,9733,T474X4A,T47.4X,"poisoning by, adverse effect of and underdosing of other laxatives"
937,30570,F1510,F15.10,"other stimulant abuse, uncomplicated"
938,4169,I279,I27.9,"pulmonary heart disease, unspecified"
939,72283,M961,M96.1,"postlaminectomy syndrome, not elsewhere classified"
940,23875,D469,D46.9,"myelodysplastic syndrome, unspecified"
941,95204,S14154A,S14.15,other incomplete lesions of cervical spinal cord
942,3062,F458,F45.8,other somatoform disorders
943,7466,Q233,Q23.3,congenital mitral insufficiency
944,2538,E236,E23.6,other disorders of pituitary gland
945,5550,K5000,K50.00,crohn's disease of small intestine without complications
946,7842,R221,R22.1,"localized swelling, mass and lump, neck"
947,56031,K563,K56.3,gallstone ileus
948,86412,S36114A,S36.11,injury of liver
949,6822,L03329,L03.32,acute lymphangitis of trunk
950,E9674,Y0750,Y07.50,"unspecified non-family member, perpetrator of maltreatment and neglect"
951,72706,M65879,M65.87,"other synovitis and tenosynovitis, ankle and foot"
952,4420,I721,I72.1,aneurysm of artery of upper extremity
953,1533,C187,C18.7,malignant neoplasm of sigmoid colon
954,41082,I2129,I21.29,st elevation (stemi) myocardial infarction involving other sites
955,33811,G8911,G89.11,acute pain due to trauma
956,70409,L668,L66.8,other cicatricial alopecia
957,E8500,T40.0,T40.0,"poisoning by, adverse effect of and underdosing of opium"
958,3940,I050,I05.0,rheumatic mitral stenosis
959,36544,H42,H42,glaucoma in diseases classified elsewhere
960,52510,K08109,K08.10,"complete loss of teeth, unspecified cause"
961,2884,D763,D76.3,other histiocytosis syndromes
962,79399,R938,R93.8,abnormal findings on diagnostic imaging of other specified body structures
963,2793,D849,D84.9,"immunodeficiency, unspecified"
964,6861,L980,L98.0,pyogenic granuloma
965,80605,S14107A,S14.10,unspecified injury of cervical spinal cord
966,E8140,V405XXA,V40.5,car driver injured in collision with pedestrian or animal in traffic accident
967,60011,N403,N40.3,nodular prostate with lower urinary tract symptoms
968,72743,M6740,M67.40,"ganglion, unspecified site"
969,30530,F1610,F16.10,"hallucinogen abuse, uncomplicated"
970,4200,I32,I32,pericarditis in diseases classified elsewhere
971,86329,S36408A,S36.40,unspecified injury of small intestine
972,0090,A09,A09,"infectious gastroenteritis and colitis, unspecified"
973,0272,A280,A28.0,pasteurellosis
974,1489,C139,C13.9,"malignant neoplasm of hypopharynx, unspecified"
975,30402,F1120,F11.20,"opioid dependence, uncomplicated"
976,7093,L988,L98.8,other specified disorders of the skin and subcutaneous tissue
977,3330,G238,G23.8,other specified degenerative diseases of basal ganglia
978,05371,B028,B02.8,zoster with other complications
979,96972,T43624A,T43.62,"poisoning by, adverse effect of and underdosing of amphetamines"
980,2360,D390,D39.0,neoplasm of uncertain behavior of uterus
981,V443,Z933,Z93.3,colostomy status
982,9081,S3690XS,S36.90,unspecified injury of unspecified intra-abdominal organ
983,2739,E8809,E88.09,"other disorders of plasma-protein metabolism, not elsewhere classified"
984,V0179,Z20828,Z20.82,contact with and (suspected) exposure to other viral communicable diseases
985,1512,C163,C16.3,malignant neoplasm of pyloric antrum
986,9760,T490X4A,T49.0X,"poisoning by, adverse effect of and underdosing of local antifungal, anti-infective and anti-inflammatory drugs"
987,E8199,V892XXA,V89.2,"person injured in unspecified motor-vehicle accident, traffic"
988,41031,I2111,I21.11,st elevation (stemi) myocardial infarction involving right coronary artery
989,76403,P0513,P05.13,"newborn small for gestational age, 750-999 grams"
990,1468,C108,C10.8,malignant neoplasm of overlapping sites of oropharynx
991,1173,B449,B44.9,"aspergillosis, unspecified"
992,90251,S35513A,S35.51,injury of iliac artery or vein
993,V061,Z23,Z23,encounter for immunization
994,37239,H1089,H10.89,other conjunctivitis
995,591,N1330,N13.30,unspecified hydronephrosis
996,47874,J386,J38.6,stenosis of larynx
997,94504,T24439A,T24.43,corrosion of unspecified degree of lower leg
998,5934,N138,N13.8,other obstructive and reflux uropathy
999,7852,R011,R01.1,"cardiac murmur, unspecified"
1000,V0253,Z22321,Z22.32,carrier of bacterial disease due to staphylococci
1001,9599,T1490XA,T14.90,"injury, unspecified"
1002,1760,C460,C46.0,kaposi's sarcoma of skin
1003,7811,R432,R43.2,parageusia
1004,7830,R630,R63.0,anorexia
1005,88012,S41029A,S41.02,laceration with foreign body of shoulder
1006,5552,K5080,K50.80,crohn's disease of both small and large intestine without complications
1007,25043,E1065,E10.65,type 1 diabetes mellitus with hyperglycemia
1008,85185,S06337A,S06.33,"contusion and laceration of cerebrum, unspecified"
1009,34409,G8250,G82.50,"quadriplegia, unspecified"
1010,76504,P0714,P07.14,"other low birth weight newborn, 1000-1249 grams"
1011,80080,S06360A,S06.36,"traumatic hemorrhage of cerebrum, unspecified"
1012,74761,Q265,Q26.5,anomalous portal venous connection
1013,3824,H6640,H66.40,"suppurative otitis media, unspecified, unspecified ear"
1014,2530,E220,E22.0,acromegaly and pituitary gigantism
1015,63380,O0080,O00.80,other ectopic pregnancy without intrauterine pregnancy
1016,9627,T381X4A,T38.1X,"poisoning by, adverse effect of and underdosing of thyroid hormones and substitutes"
1017,75557,Q740,Q74.0,"other congenital malformations of upper limb(s), including shoulder girdle"
1018,29522,F202,F20.2,catatonic schizophrenia
1019,80662,S343XXA,S34.3,injury of cauda equina
1020,52109,K029,K02.9,"dental caries, unspecified"
1021,85135,S06338A,S06.33,"contusion and laceration of cerebrum, unspecified"
1022,53089,K228,K22.8,other specified diseases of esophagus
1023,3509,G509,G50.9,"disorder of trigeminal nerve, unspecified"
1024,72669,M76899,M76.89,"other specified enthesopathies of lower limb, excluding foot"
1025,73314,M84459A,M84.45,"pathological fracture, femur and pelvis"
1026,E8136,V1960XA,V19.60,unspecified pedal cyclist injured in collision with unspecified motor vehicles in traffic accident
1027,52579,M2769,M27.69,other endosseous dental implant failure
1028,05312,B0222,B02.22,postherpetic trigeminal neuralgia
1029,6970,L661,L66.1,lichen planopilaris
1030,73300,M810,M81.0,age-related osteoporosis without current pathological fracture
1031,6202,N83299,N83.29,other ovarian cysts
1032,36400,H2000,H20.00,unspecified acute and subacute iridocyclitis
1033,1320,B850,B85.0,pediculosis due to pediculus humanus capitis
1034,E9060,W540XXA,W54.0,bitten by dog
1035,6269,N939,N93.9,"abnormal uterine and vaginal bleeding, unspecified"
1036,78864,R3911,R39.11,hesitancy of micturition
1037,99830,T8130XA,T81.30,"disruption of wound, unspecified"
1038,2558,E278,E27.8,other specified disorders of adrenal gland
1039,9961,T82598A,T82.59,other mechanical complication of other cardiac and vascular devices and implants
1040,E9328,T38.2X,T38.2X,"poisoning by, adverse effect of and underdosing of antithyroid drugs"
1041,20028,C8378,C83.78,"burkitt lymphoma, lymph nodes of multiple sites"
1042,3593,G723,G72.3,periodic paralysis
1043,40413,I132,I13.2,"hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease"
1044,22801,D1801,D18.01,hemangioma of skin and subcutaneous tissue
1045,2809,D509,D50.9,"iron deficiency anemia, unspecified"
1046,83921,S23101A,S23.10,subluxation and dislocation of unspecified thoracic vertebra
1047,72402,M48061,M48.06,"spinal stenosis, lumbar region"
1048,75569,Q742,Q74.2,"other congenital malformations of lower limb(s), including pelvic girdle"
1049,34202,G8104,G81.04,flaccid hemiplegia affecting left nondominant side
1050,7220,M5020,M50.20,"other cervical disc displacement, unspecified cervical region"
1051,95919,S3982XA,S39.82,other specified injuries of lower back
1052,E8793,Y843,Y84.3,"shock therapy as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
1053,4510,I8000,I80.00,phlebitis and thrombophlebitis of superficial vessels of unspecified lower extremity
1054,7744,P5929,P59.29,neonatal jaundice from other hepatocellular damage
1055,2749,M109,M10.9,"gout, unspecified"
1056,7597,Q897,Q89.7,"multiple congenital malformations, not elsewhere classified"
1057,8930,S91109A,S91.10,unspecified open wound of toe without damage to nail
1058,52563,K08530,K08.53,fractured dental restorative material
1059,6208,N9983,N99.83,residual ovary syndrome
1060,6279,N959,N95.9,unspecified menopausal and perimenopausal disorder
1061,5278,K118,K11.8,other diseases of salivary glands
1062,5734,K763,K76.3,infarction of liver
1063,05311,B0221,B02.21,postherpetic geniculate ganglionitis
1064,75983,Q992,Q99.2,fragile x chromosome
1065,29512,F201,F20.1,disorganized schizophrenia
1066,V4983,Z7682,Z76.82,awaiting organ transplant status
1067,V0254,Z22322,Z22.32,carrier of bacterial disease due to staphylococci
1068,80176,S02109B,S02.10,unspecified fracture of base of skull
1069,9260,S38002A,S38.00,crushing injury of unspecified external genital organs
1070,5967,N3289,N32.89,other specified disorders of bladder
1071,8064,S34129A,S34.12,incomplete lesion of lumbar spinal cord
1072,55093,K4021,K40.21,"bilateral inguinal hernia, without obstruction or gangrene, recurrent"
1073,07998,A749,A74.9,"chlamydial infection, unspecified"
1074,29680,F319,F31.9,"bipolar disorder, unspecified"
1075,53989,K9589,K95.89,other complications of other bariatric procedure
1076,85404,S069X5A,S06.9X,unspecified intracranial injury
1077,0338,A3780,A37.80,whooping cough due to other bordetella species without pneumonia
1078,E8852,V00131A,V00.13,skateboard accident
1079,79552,R7612,R76.12,nonspecific reaction to cell mediated immunity measurement of gamma interferon antigen response without active tuberculosis
1080,1501,C154,C15.4,malignant neoplasm of middle third of esophagus
1081,V023,Z221,Z22.1,carrier of other intestinal infectious diseases
1082,V1652,Z8052,Z80.52,family history of malignant neoplasm of bladder
1083,88013,S41129A,S41.12,laceration with foreign body of upper arm
1084,V600,Z590,Z59.0,homelessness
1085,71831,M24419,M24.41,"recurrent dislocation, shoulder"
1086,7750,P701,P70.1,syndrome of infant of a diabetic mother
1087,1898,C688,C68.8,malignant neoplasm of overlapping sites of urinary organs
1088,94126,T2065XA,T20.65,corrosion of second degree of scalp [any part]
1089,2982,F4489,F44.89,other dissociative and conversion disorders
1090,V1505,Z91018,Z91.01,food allergy status
1091,87261,S0920XA,S09.20,traumatic rupture of unspecified ear drum
1092,8088,S329XXA,S32.9,fracture of unspecified parts of lumbosacral spine and pelvis
1093,44629,M310,M31.0,hypersensitivity angiitis
1094,7876,R11.0,R11.0,nausea
1095,34501,G40A19,G40.A1,"absence epileptic syndrome, intractable"
1096,7014,L910,L91.0,hypertrophic scar
1097,6175,N805,N80.5,endometriosis of intestine
1098,34831,G9341,G93.41,metabolic encephalopathy
1099,5770,K8592,K85.92,"acute pancreatitis with infected necrosis, unspecified"
1100,2910,F10231,F10.23,alcohol dependence with withdrawal
1101,81613,S6290XB,S62.90,unspecified fracture of unspecified wrist and hand
1102,71106,M00869,M00.86,"arthritis due to other bacteria, knee"
1103,E9457,T48.6X,T48.6X,"poisoning by, adverse effect of and underdosing of antiasthmatics"
1104,65641,O364XX0,O36.4,maternal care for intrauterine death
1105,7636,P035,P03.5,newborn affected by precipitate delivery
1106,7689,P84,P84,other problems with newborn
1107,8794,S31109A,S31.10,unspecified open wound of abdominal wall without penetration into peritoneal cavity
1108,7294,M729,M72.9,"fibroblastic disorder, unspecified"
1109,E9208,W269XXA,W26.9,contact with unspecified sharp object(s)
1110,71836,M24469,M24.46,"recurrent dislocation, knee"
1111,3445,G8330,G83.30,"monoplegia, unspecified affecting unspecified side"
1112,36251,H353194,H35.31,nonexudative age-related macular degeneration
1113,20040,C8319,C83.19,"mantle cell lymphoma, extranodal and solid organ sites"
1114,52400,M2600,M26.00,unspecified anomaly of jaw size
1115,3572,E1342,E13.42,other specified diabetes mellitus with diabetic polyneuropathy
1116,86132,S27339A,S27.33,laceration of lung
1117,2534,E236,E23.6,other disorders of pituitary gland
1118,E8187,V093XXA,V09.3,pedestrian injured in unspecified traffic accident
1119,2931,F05,F05,delirium due to known physiological condition
1120,3094,F4325,F43.25,adjustment disorder with mixed disturbance of emotions and conduct
1121,56782,K654,K65.4,sclerosing mesenteritis
1122,1960,C770,C77.0,"secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck"
1123,42822,I5022,I50.22,chronic systolic (congestive) heart failure
1124,E9452,T48.1X,T48.1X,"poisoning by, adverse effect of and underdosing of skeletal muscle relaxants [neuromuscular blocking agents]"
1125,V141,Z881,Z88.1,allergy status to other antibiotic agents
1126,66574,O717,O71.7,obstetric hematoma of pelvis
1127,3249,G062,G06.2,"extradural and subdural abscess, unspecified"
1128,86399,S36899A,S36.89,injury of other intra-abdominal organs
1129,7817,R290,R29.0,tetany
1130,6261,N915,N91.5,"oligomenorrhea, unspecified"
1131,96569,T394X4A,T39.4X,"poisoning by, adverse effect of and underdosing of antirheumatics, not elsewhere classified"
1132,541,K37,K37,unspecified appendicitis
1133,77089,R0603,R06.03,acute respiratory distress
1134,V5412,S6292XD,S62.92,unspecified fracture of left wrist and hand
1135,V1043,Z8543,Z85.43,personal history of malignant neoplasm of ovary
1136,V655,Z711,Z71.1,person with feared health complaint in whom no diagnosis is made
1137,3320,G20,G20,parkinson's disease
1138,27709,E848,E84.8,cystic fibrosis with other manifestations
1139,7291,M797,M79.7,fibromyalgia
1140,V1044,Z8544,Z85.44,personal history of malignant neoplasm of other female genital organs
1141,1579,C259,C25.9,"malignant neoplasm of pancreas, unspecified"
1142,8245,S82846C,S82.84,bimalleolar fracture of lower leg
1143,20020,C8379,C83.79,"burkitt lymphoma, extranodal and solid organ sites"
1144,7325,M9270,M92.70,"juvenile osteochondrosis of metatarsus, unspecified foot"
1145,30300,F10229,F10.22,alcohol dependence with intoxication
1146,340,G35,G35,multiple sclerosis
1147,1736,C44.6,C44.6,"other and unspecified malignant neoplasm of skin of upper limb, including shoulder"
1148,20191,C8191,C81.91,"hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck"
1149,2468,E0789,E07.89,other specified disorders of thyroid
1150,7589,Q999,Q99.9,"chromosomal abnormality, unspecified"
1151,37881,H510,H51.0,palsy (spasm) of conjugate gaze
1152,71531,M1990,M19.90,"unspecified osteoarthritis, unspecified site"
1153,30520,F1210,F12.10,"cannabis abuse, uncomplicated"
1154,E976,Y3593XA,Y35.93,"legal intervention, means unspecified, suspect injured"
1155,5180,J9819,J98.19,other pulmonary collapse
1156,5234,K05.3,K05.3,chronic periodontitis
1157,2592,E340,E34.0,carcinoid syndrome
1158,V1859,Z8379,Z83.79,family history of other diseases of the digestive system
1159,E911,W44.XXXA,W44,foreign body entering into or through a natural orifice
1160,86130,S27309A,S27.30,unspecified injury of lung
1161,23874,D46C,D46.C,myelodysplastic syndrome with isolated del(5q) chromosomal abnormality
1162,56944,K6282,K62.82,dysplasia of anus
1163,6806,L02439,L02.43,carbuncle of limb
1164,51902,J9503,J95.03,malfunction of tracheostomy stoma
1165,53401,K280,K28.0,acute gastrojejunal ulcer with hemorrhage
1166,36101,H33019,H33.01,retinal detachment with single break
1167,1211,B661,B66.1,clonorchiasis
1168,72660,M7050,M70.50,"other bursitis of knee, unspecified knee"
1169,E8238,V572XXA,V57.2,person on outside of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident
1170,81509,S62399A,S62.39,other fracture of other metacarpal bone
1171,9998,T80.89XA,T80.89,"other complications following infusion, transfusion and therapeutic injection"
1172,78843,R351,R35.1,nocturia
1173,7048,L738,L73.8,other specified follicular disorders
1174,45181,I80219,I80.21,phlebitis and thrombophlebitis of iliac vein
1175,23691,D4120,D41.20,neoplasm of uncertain behavior of unspecified ureter
1176,V180,Z833,Z83.3,family history of diabetes mellitus
1177,05412,A6004,A60.04,herpesviral vulvovaginitis
1178,2820,D580,D58.0,hereditary spherocytosis
1179,V1251,Z86718,Z86.71,personal history of venous thrombosis and embolism
1180,9580,T790XXA,T79.0,air embolism (traumatic)
1181,V1201,Z8611,Z86.11,personal history of tuberculosis
1182,86120,S27309A,S27.30,unspecified injury of lung
1183,5981,N35028,N35.02,"post-traumatic urethral stricture, female"
1184,81301,S52026A,S52.02,fracture of olecranon process without intraarticular extension of ulna
1185,V331,Z384,Z38.4,"twin liveborn infant, born outside hospital"
1186,66932,O904,O90.4,postpartum acute kidney failure
1187,1913,C713,C71.3,malignant neoplasm of parietal lobe
1188,2779,E889,E88.9,"metabolic disorder, unspecified"
1189,80175,S02109B,S02.10,unspecified fracture of base of skull
1190,V6107,Z634,Z63.4,disappearance and death of family member
1191,29575,F259,F25.9,"schizoaffective disorder, unspecified"
1192,E9240,X12XXXA,X12,contact with other hot fluids
