Token Index,ICD-9,ICD-10,ICD-10-Align-Hierarchy,SHORT-TITLE
2570,04672,A8183,A81.83,fatal familial insomnia
2571,20601,C9301,C93.01,"acute monoblastic/monocytic leukemia, in remission"
2572,4461,M303,M30.3,mucocutaneous lymph node syndrome [kawasaki]
2573,45182,I808,I80.8,phlebitis and thrombophlebitis of other sites
2574,80051,S020XXB,S02.0,fracture of vault of skull
2575,72781,M6700,M67.00,"short achilles tendon (acquired), unspecified ankle"
2576,4144,I2584,I25.84,coronary atherosclerosis due to calcified coronary lesion
2577,30011,F446,F44.6,conversion disorder with sensory symptom or deficit
2578,64264,O152,O15.2,eclampsia complicating the puerperium
2579,45919,I87099,I87.09,postthrombotic syndrome with other complications
2580,6219,N859,N85.9,"noninflammatory disorder of uterus, unspecified"
2581,7904,R740,R74.0,nonspecific elevation of levels of transaminase and lactic acid dehydrogenase [ldh]
2582,22802,D1802,D18.02,hemangioma of intracranial structures
2583,3599,G729,G72.9,"myopathy, unspecified"
2584,28652,D68311,D68.31,"hemorrhagic disorder due to intrinsic circulating anticoagulants, antibodies, or inhibitors"
2585,8248,S82899A,S82.89,other fractures of lower leg
2586,62981,N96,N96,recurrent pregnancy loss
2587,V1051,Z8551,Z85.51,personal history of malignant neoplasm of bladder
2588,V618,Z638,Z63.8,other specified problems related to primary support group
2589,73016,M86669,M86.66,"other chronic osteomyelitis, tibia and fibula"
2590,E9262,W898XXA,W89.8,exposure to other man-made visible and ultraviolet light
2591,E9249,X19XXXA,X19,contact with other heat and hot substances
2592,79401,R9081,R90.81,abnormal echoencephalogram
2593,2733,C880,C88.0,waldenstrom macroglobulinemia
2594,80175,S02109B,S02.10,unspecified fracture of base of skull
2595,8702,S01119A,S01.11,laceration without foreign body of eyelid and periocular area
2596,75560,Q742,Q74.2,"other congenital malformations of lower limb(s), including pelvic girdle"
2597,9648,T458X4A,T45.8X,"poisoning by, adverse effect of and underdosing of other primarily systemic and hematological agents"
2598,74336,Q128,Q12.8,other congenital lens malformations
2599,E9230,W39XXXA,W39,discharge of firework
2600,7981,R99,R99,ill-defined and unknown cause of mortality
2601,07998,A749,A74.9,"chlamydial infection, unspecified"
2602,3698,H5460,H54.60,"unqualified visual loss, one eye, unspecified"
2603,71104,M00849,M00.84,"arthritis due to other bacteria, hand"
2604,3181,F72,F72,severe intellectual disabilities
2605,78262,R232,R23.2,flushing
2606,86510,S3600XA,S36.00,unspecified injury of spleen
2607,E9991,Y389X2S,Y38.9X,"terrorism, secondary effects"
2608,99653,T8529XA,T85.29,other mechanical complication of intraocular lens
2609,1900,C6940,C69.40,malignant neoplasm of unspecified ciliary body
2610,V4031,Z9183,Z91.83,wandering in diseases classified elsewhere
2611,99830,T8130XA,T81.30,"disruption of wound, unspecified"
2612,V157,Z920,Z92.0,personal history of contraception
2613,85400,S06890A,S06.89,other specified intracranial injury
2614,71825,M24359,M24.35,"pathological dislocation of hip, not elsewhere classified"
2615,9058,M6790,M67.90,"unspecified disorder of synovium and tendon, unspecified site"
2616,7068,L853,L85.3,xerosis cutis
2617,V1364,Z87790,Z87.79,personal history of other (corrected) congenital malformations
2618,8679,S3790XA,S37.90,unspecified injury of unspecified urinary and pelvic organ
2619,57421,K8021,K80.21,calculus of gallbladder without cholecystitis with obstruction
2620,81000,S42009A,S42.00,fracture of unspecified part of clavicle
2621,28240,D569,D56.9,"thalassemia, unspecified"
2622,41181,I240,I24.0,acute coronary thrombosis not resulting in myocardial infarction
2623,33521,G1221,G12.21,amyotrophic lateral sclerosis
2624,34831,G9341,G93.41,metabolic encephalopathy
2625,66323,O692XX0,O69.2,"labor and delivery complicated by other cord entanglement, with compression"
2626,83102,S43026A,S43.02,posterior subluxation and dislocation of humerus
2627,7241,M546,M54.6,pain in thoracic spine
2628,V665,Z5189,Z51.89,encounter for other specified aftercare
2629,9189,S0590XA,S05.90,unspecified injury of unspecified eye and orbit
2630,48249,J1529,J15.29,pneumonia due to other staphylococcus
2631,V1580,Z9283,Z92.83,personal history of failed moderate sedation
2632,71636,M13869,M13.86,"other specified arthritis, knee"
2633,1175,B459,B45.9,"cryptococcosis, unspecified"
2634,30089,F488,F48.8,other specified nonpsychotic mental disorders
2635,36720,H52209,H52.20,unspecified astigmatism
2636,42841,I5041,I50.41,acute combined systolic (congestive) and diastolic (congestive) heart failure
2637,72810,M619,M61.9,"calcification and ossification of muscle, unspecified"
2638,3212,G02,G02,meningitis in other infectious and parasitic diseases classified elsewhere
2639,2865,D68.59,D68.59,other primary thrombophilia
2640,2971,F22,F22,delusional disorders
2641,70705,L89309,L89.30,pressure ulcer of unspecified buttock
2642,64903,O99333,O99.33,"tobacco use disorder complicating pregnancy, childbirth, and the puerperium"
2643,1488,C138,C13.8,malignant neoplasm of overlapping sites of hypopharynx
2644,5789,K922,K92.2,"gastrointestinal hemorrhage, unspecified"
2645,2114,D129,D12.9,benign neoplasm of anus and anal canal
2646,6118,N64.89,N64.89,other specified disorders of breast
2647,52540,K08109,K08.10,"complete loss of teeth, unspecified cause"
2648,87202,S01309A,S01.30,unspecified open wound of ear
2649,E9386,T41.3X,T41.3X,"poisoning by, adverse effect of and underdosing of local anesthetics"
2650,44029,I70299,I70.29,other atherosclerosis of native arteries of extremities
2651,83661,S83116A,S83.11,anterior subluxation and dislocation of proximal end of tibia
2652,V7283,Z01818,Z01.81,encounter for preprocedural examinations
2653,98982,T65814A,T65.81,toxic effect of latex
2654,86611,S37029A,S37.02,major contusion of kidney
2655,72271,M5000,M50.00,"cervical disc disorder with myelopathy, unspecified cervical region"
2656,4210,I330,I33.0,acute and subacute infective endocarditis
2657,88120,S56929A,S56.92,"laceration of unspecified muscles, fascia and tendons at forearm level"
2658,81209,S42296A,S42.29,other fracture of upper end of humerus
2659,8719,S0590XA,S05.90,unspecified injury of unspecified eye and orbit
2660,64131,O670,O67.0,intrapartum hemorrhage with coagulation defect
2661,59984,N368,N36.8,other specified disorders of urethra
2662,23872,D46B,D46.B,refractory cytopenia with multilineage dysplasia and ring sideroblasts
2663,20530,C9230,C92.30,"myeloid sarcoma, not having achieved remission"
2664,2721,E781,E78.1,pure hyperglyceridemia
2665,42760,I4940,I49.40,unspecified premature depolarization
2666,86343,S36502A,S36.50,unspecified injury of colon
2667,E851,T40.3X,T40.3X,"poisoning by, adverse effect of and underdosing of methadone"
2668,5761,K830,K83.0,cholangitis
2669,73395,M8438XA,M84.38,"stress fracture, other site"
2670,E9282,X58XXXA,X58,exposure to other specified factors
2671,V9111,O30119,O30.11,triplet pregnancy with two or more monochorionic fetuses
2672,3942,I052,I05.2,rheumatic mitral stenosis with insufficiency
2673,E9321,T38.7X,T38.7X,"poisoning by, adverse effect of and underdosing of androgens and anabolic congeners"
2674,0542,B002,B00.2,herpesviral gingivostomatitis and pharyngotonsillitis
2675,570,K762,K76.2,central hemorrhagic necrosis of liver
2676,5779,K869,K86.9,"disease of pancreas, unspecified"
2677,80116,S02109A,S02.10,unspecified fracture of base of skull
2678,85209,S066X9A,S06.6X,traumatic subarachnoid hemorrhage
2679,V170,Z818,Z81.8,family history of other mental and behavioral disorders
2680,20088,C8388,C83.88,"other non-follicular lymphoma, lymph nodes of multiple sites"
2681,65701,O403XX0,O40.3,"polyhydramnios, third trimester"
2682,66193,O629,O62.9,"abnormality of forces of labor, unspecified"
2683,2469,E079,E07.9,"disorder of thyroid, unspecified"
2684,E9806,T54.94,T54.94,"toxic effect of unspecified corrosive substance, undetermined"
2685,80321,S066X0A,S06.6X,traumatic subarachnoid hemorrhage
2686,86814,S36899A,S36.89,injury of other intra-abdominal organs
2687,47879,J387,J38.7,other diseases of larynx
2688,2890,D751,D75.1,secondary polycythemia
2689,E9202,W292XXA,W29.2,contact with other powered household machinery
2690,43311,I63239,I63.23,cerebral infarction due to unspecified occlusion or stenosis of carotid arteries
2691,V7399,Z1159,Z11.59,encounter for screening for other viral diseases
2692,5264,M272,M27.2,inflammatory conditions of jaws
2693,79673,R85612,R85.61,abnormal cytologic smear of anus
2694,71183,M01X39,M01.X3,direct infection of wrist in infectious and parasitic diseases classified elsewhere
2695,0980,A5400,A54.00,"gonococcal infection of lower genitourinary tract, unspecified"
2696,3555,G5750,G57.50,"tarsal tunnel syndrome, unspecified lower limb"
2697,E9102,W69XXXA,W69,accidental drowning and submersion while in natural water
2698,6279,N959,N95.9,unspecified menopausal and perimenopausal disorder
2699,6258,N9489,N94.89,other specified conditions associated with female genital organs and menstrual cycle
2700,7379,M438X9,M43.8X,other specified deforming dorsopathies
2701,4556,K649,K64.9,unspecified hemorrhoids
2702,5849,N179,N17.9,"acute kidney failure, unspecified"
2703,6953,L718,L71.8,other rosacea
2704,V4561,Z9849,Z98.49,"cataract extraction status, unspecified eye"
2705,6283,N972,N97.2,female infertility of uterine origin
2706,5566,K5100,K51.00,ulcerative (chronic) pancolitis without complications
2707,05411,A6004,A60.04,herpesviral vulvovaginitis
2708,28850,D72819,D72.81,decreased white blood cell count
2709,V641,Z5309,Z53.09,procedure and treatment not carried out because of other contraindication
2710,70441,L7211,L72.11,pilar cyst
2711,82139,S72499C,S72.49,other fracture of lower end of femur
2712,37000,H16009,H16.00,unspecified corneal ulcer
2713,E8703,T81.4,T81.4,infection following a procedure
2714,27903,D803,D80.3,selective deficiency of immunoglobulin g [igg] subclasses
2715,2142,D174,D17.4,benign lipomatous neoplasm of intrathoracic organs
2716,V692,Z7251,Z72.51,high risk heterosexual behavior
2717,66131,O623,O62.3,precipitate labor
2718,80711,S2239XB,S22.39,"fracture of one rib, unspecified side"
2719,0414,A49.1,A49.1,"streptococcal infection, unspecified site"
2720,71990,M259,M25.9,"joint disorder, unspecified"
2721,6989,L299,L29.9,"pruritus, unspecified"
2722,86353,S36502A,S36.50,unspecified injury of colon
2723,20890,C9590,C95.90,"leukemia, unspecified not having achieved remission"
2724,53171,K56699,K56.69,other intestinal obstruction
2725,36843,H53439,H53.43,sector or arcuate defects
2726,64313,O211,O21.1,hyperemesis gravidarum with metabolic disturbance
2727,7011,L872,L87.2,elastosis perforans serpiginosa
2728,4731,J321,J32.1,chronic frontal sinusitis
2729,09955,A562,A56.2,"chlamydial infection of genitourinary tract, unspecified"
2730,7179,M2390,M23.90,unspecified internal derangement of unspecified knee
2731,81411,S62009B,S62.00,unspecified fracture of navicular [scaphoid] bone of wrist
2732,86101,S2691XA,S26.91,"contusion of heart, unspecified with or without hemopericardium"
2733,5969,N329,N32.9,"bladder disorder, unspecified"
2734,05313,B0223,B02.23,postherpetic polyneuropathy
2735,32702,F5105,F51.05,insomnia due to other mental disorder
2736,20031,C8381,C83.81,"other non-follicular lymphoma, lymph nodes of head, face, and neck"
2737,V5332,Z4502,Z45.02,encounter for adjustment and management of automatic implantable cardiac defibrillator
2738,20052,C8382,C83.82,"other non-follicular lymphoma, intrathoracic lymph nodes"
2739,29594,F209,F20.9,"schizophrenia, unspecified"
2740,81332,S52209C,S52.20,unspecified fracture of shaft of ulna
2741,7935,R9349,R93.49,abnormal radiologic findings on diagnostic imaging of other urinary organs
2742,82332,S82402B,S82.40,unspecified fracture of shaft of fibula
2743,65201,O320XX0,O32.0,maternal care for unstable lie
2744,V4369,Z96698,Z96.69,presence of other orthopedic joint implants
2745,V4500,Z959,Z95.9,"presence of cardiac and vascular implant and graft, unspecified"
2746,E9455,T43.505A,T43.50,"poisoning by, adverse effect of and underdosing of unspecified antipsychotics and neuroleptics"
2747,9730,T471X4A,T47.1X,"poisoning by, adverse effect of and underdosing of other antacids and anti-gastric-secretion drugs"
2748,83801,S93316A,S93.31,subluxation and dislocation of tarsal joint
2749,3959,I069,I06.9,"rheumatic aortic valve disease, unspecified"
2750,7104,M3320,M33.20,"polymyositis, organ involvement unspecified"
2751,55220,K436,K43.6,"other and unspecified ventral hernia with obstruction, without gangrene"
2752,4010,I10,I10,essential (primary) hypertension
2753,38014,H6020,H60.20,"malignant otitis externa, unspecified ear"
2754,E0090,Y93A1,Y93.A1,"activity, exercise machines primarily for cardiorespiratory conditioning"
2755,9685,T413X1A,T41.3X,"poisoning by, adverse effect of and underdosing of local anesthetics"
2756,94239,T2179XA,T21.79,corrosion of third degree of other site of trunk
2757,80700,S2239XA,S22.39,"fracture of one rib, unspecified side"
2758,35789,G6182,G61.82,multifocal motor neuropathy
2759,99701,G9782,G97.82,other postprocedural complications and disorders of nervous system
2760,36565,H4030X0,H40.30,"glaucoma secondary to eye trauma, unspecified eye"
2761,2808,D508,D50.8,other iron deficiency anemias
2762,71942,M25529,M25.52,pain in elbow
2763,95204,S14154A,S14.15,other incomplete lesions of cervical spinal cord
2764,52681,M278,M27.8,other specified diseases of jaws
2765,5290,K140,K14.0,glossitis
2766,8842,S41009A,S41.00,unspecified open wound of shoulder
2767,25631,E28319,E28.31,premature menopause
2768,E8587,T49,T49,"poisoning by, adverse effect of and underdosing of topical agents primarily affecting skin and mucous membrane and by ophthalmological, otorhinorlaryngological and dental drugs"
2769,3732,H0019,H00.19,"chalazion unspecified eye, unspecified eyelid"
2770,E8529,T39.3X1A,T39.3,"poisoning by, adverse effect of and underdosing of other nonsteroidal anti-inflammatory drugs [nsaid]"
2771,45620,I8511,I85.11,secondary esophageal varices with bleeding
2772,V1789,Z8269,Z82.69,family history of other diseases of the musculoskeletal system and connective tissue
2773,28862,D72823,D72.82,elevated white blood cell count
2774,9069,T2040XS,T20.40,"corrosion of unspecified degree of head, face, and neck, unspecified site"
2775,5642,K911,K91.1,postgastric surgery syndromes
2776,E9883,Y33XXXA,Y33,"other specified events, undetermined intent"
2777,30921,F930,F93.0,separation anxiety disorder of childhood
2778,59081,N16,N16,renal tubulo-interstitial disorders in diseases classified elsewhere
2779,30593,F1911,F19.11,"other psychoactive substance abuse, in remission"
2780,33372,G2402,G24.02,drug induced acute dystonia
2781,36102,H33029,H33.02,retinal detachment with multiple breaks
2782,3332,G253,G25.3,myoclonus
2783,V8543,Z6843,Z68.43,"body mass index [bmi] 50.0-59.9, adult"
2784,8796,S31000A,S31.00,unspecified open wound of lower back and pelvis
2785,95911,S298XXA,S29.8,other specified injuries of thorax
2786,2724,E785,E78.5,"hyperlipidemia, unspecified"
2787,99581,T7611XA,T76.11,"adult physical abuse, suspected"
2788,7964,R6889,R68.89,other general symptoms and signs
2789,63311,O00119,O00.11,tubal pregnancy with intrauterine pregnancy
2790,V1011,Z85118,Z85.11,personal history of malignant neoplasm of bronchus and lung
2791,64904,O99335,O99.33,"tobacco use disorder complicating pregnancy, childbirth, and the puerperium"
2792,36112,H33199,H33.19,other retinoschisis and retinal cysts
2793,2532,E230,E23.0,hypopituitarism
2794,7030,L600,L60.0,ingrowing nail
2795,41061,I2129,I21.29,st elevation (stemi) myocardial infarction involving other sites
2796,81200,S42209A,S42.20,unspecified fracture of upper end of humerus
2797,5060,J680,J68.0,"bronchitis and pneumonitis due to chemicals, gases, fumes and vapors"
2798,30393,F1021,F10.21,"alcohol dependence, in remission"
2799,20073,C8333,C83.33,"diffuse large b-cell lymphoma, intra-abdominal lymph nodes"
2800,71827,M24376,M24.37,"pathological dislocation of ankle and foot, not elsewhere classified"
2801,2639,E46,E46,unspecified protein-calorie malnutrition
2802,71229,M1189,M11.89,"other specified crystal arthropathies, multiple sites"
2803,40490,I1310,I13.10,"hypertensive heart and chronic kidney disease without heart failure, with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease"
2804,V1009,Z8509,Z85.09,personal history of malignant neoplasm of other digestive organs
2805,81100,S42109A,S42.10,fracture of unspecified part of scapula
2806,36271,H36,H36,retinal disorders in diseases classified elsewhere
2807,E8290,V0600XA,V06.00,pedestrian on foot injured in collision with other nonmotor vehicle in nontraffic accident
2808,3556,G5760,G57.60,"lesion of plantar nerve, unspecified lower limb"
2809,V6107,Z634,Z63.4,disappearance and death of family member
2810,6175,N805,N80.5,endometriosis of intestine
2811,82330,S82209C,S82.20,unspecified fracture of shaft of tibia
2812,67002,O8689,O86.89,other specified puerperal infections
2813,25541,E2740,E27.40,unspecified adrenocortical insufficiency
2814,1510,C160,C16.0,malignant neoplasm of cardia
2815,64213,O10413,O10.41,pre-existing secondary hypertension complicating pregnancy
2816,V5863,Z7902,Z79.02,long term (current) use of antithrombotics/antiplatelets
2817,V559,Z439,Z43.9,encounter for attention to unspecified artificial opening
2818,71108,M009,M00.9,"pyogenic arthritis, unspecified"
2819,V5401,Z472,Z47.2,encounter for removal of internal fixation device
2820,66883,O748,O74.8,other complications of anesthesia during labor and delivery
2821,34692,G43901,G43.90,"migraine, unspecified, not intractable"
2822,9393,T194XXA,T19.4,foreign body in penis
2823,8242,S8266XA,S82.66,nondisplaced fracture of lateral malleolus of unspecified fibula
2824,936,T184XXA,T18.4,foreign body in colon
2825,1412,C021,C02.1,malignant neoplasm of border of tongue
2826,4263,I447,I44.7,"left bundle-branch block, unspecified"
2827,4780,J343,J34.3,hypertrophy of nasal turbinates
2828,42769,I4949,I49.49,other premature depolarization
2829,1707,C4020,C40.20,malignant neoplasm of long bones of unspecified lower limb
2830,V8404,Z1504,Z15.04,genetic susceptibility to malignant neoplasm of endometrium
2831,38023,H6090,H60.90,"unspecified otitis externa, unspecified ear"
2832,30742,F5109,F51.09,other insomnia not due to a substance or known physiological condition
2833,1229,B6799,B67.99,other echinococcosis
2834,E9579,Y929,Y92.9,unspecified place or not applicable
2835,1908,C6980,C69.80,malignant neoplasm of overlapping sites of unspecified eye and adnexa
2836,01730,A1859,A18.59,other tuberculosis of eye
2837,5794,K903,K90.3,pancreatic steatorrhea
2838,73676,M216X9,M21.6X,other acquired deformities of foot
2839,66812,O742,O74.2,cardiac complications of anesthesia during labor and delivery
2840,30013,F441,F44.1,dissociative fugue
2841,V5410,S5290XE,S52.90,unspecified fracture of unspecified forearm
2842,30184,F6089,F60.89,other specific personality disorders
2843,29644,F312,F31.2,"bipolar disorder, current episode manic severe with psychotic features"
2844,6222,N880,N88.0,leukoplakia of cervix uteri
2845,73720,M4040,M40.40,"postural lordosis, site unspecified"
2846,20302,C9002,C90.02,multiple myeloma in relapse
2847,80142,S02109A,S02.10,unspecified fracture of base of skull
2848,29564,F205,F20.5,residual schizophrenia
2849,37452,H02719,H02.71,chloasma of eyelid and periocular area
2850,99569,T7809XA,T78.09,anaphylactic reaction due to other food products
2851,55303,K4121,K41.21,"bilateral femoral hernia, without obstruction or gangrene, recurrent"
2852,29520,F202,F20.2,catatonic schizophrenia
2853,4578,I898,I89.8,other specified noninfective disorders of lymphatic vessels and lymph nodes
2854,3159,F89,F89,unspecified disorder of psychological development
2855,17391,C4491,C44.91,"basal cell carcinoma of skin, unspecified"
2856,53901,K9501,K95.01,infection due to gastric band procedure
2857,5279,K119,K11.9,"disease of salivary gland, unspecified"
2858,6023,N4239,N42.39,other dysplasia of prostate
2859,E8496,Y9229,Y92.29,other specified public building as the place of occurrence of the external cause
2860,63431,O0332,O03.32,renal failure following incomplete spontaneous abortion
2861,71907,M25476,M25.47,"effusion, ankle and foot"
2862,64883,O24415,O24.41,gestational diabetes mellitus in pregnancy
2863,82530,S92819B,S92.81,other fracture of foot
2864,85186,S06339A,S06.33,"contusion and laceration of cerebrum, unspecified"
2865,30573,F1511,F15.11,"other stimulant abuse, in remission"
2866,514,J811,J81.1,chronic pulmonary edema
2867,5689,K669,K66.9,"disorder of peritoneum, unspecified"
2868,2131,D165,D16.5,benign neoplasm of lower jaw bone
2869,6256,N393,N39.3,stress incontinence (female) (male)
2870,90253,S35513A,S35.51,injury of iliac artery or vein
2871,E9194,W312XXA,W31.2,contact with powered woodworking and forming machines
2872,30279,F528,F52.8,other sexual dysfunction not due to a substance or known physiological condition
2873,2337,D090,D09.0,carcinoma in situ of bladder
2874,1713,C4920,C49.20,"malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip"
2875,3596,G737,G73.7,myopathy in diseases classified elsewhere
2876,47825,J392,J39.2,other diseases of pharynx
2877,37929,H4389,H43.89,other disorders of vitreous body
2878,25061,E1040,E10.40,"type 1 diabetes mellitus with diabetic neuropathy, unspecified"
2879,6145,N733,N73.3,female acute pelvic peritonitis
2880,E9478,T50.8X,T50.8X,"poisoning by, adverse effect of and underdosing of diagnostic agents"
2881,V043,Z23,Z23,encounter for immunization
2882,E8156,V139XXA,V13.9,"unspecified pedal cyclist injured in collision with car, pick-up truck or van in traffic accident"
2883,53491,K289,K28.9,"gastrojejunal ulcer, unspecified as acute or chronic, without hemorrhage or perforation"
2884,2339,D0919,D09.19,carcinoma in situ of other urinary organs
2885,9233,S6010XA,S60.10,contusion of unspecified finger with damage to nail
2886,40200,I119,I11.9,hypertensive heart disease without heart failure
2887,45981,I872,I87.2,venous insufficiency (chronic) (peripheral)
2888,3203,G003,G00.3,staphylococcal meningitis
2889,5589,K523,K52.3,indeterminate colitis
2890,57430,K8042,K80.42,calculus of bile duct with acute cholecystitis without obstruction
2891,2929,F1999,F19.99,"other psychoactive substance use, unspecified with unspecified psychoactive substance-induced disorder"
2892,20961,D3A090,D3A.09,benign carcinoid tumors of other sites
2893,34440,G8320,G83.20,monoplegia of upper limb affecting unspecified side
2894,80036,S06369A,S06.36,"traumatic hemorrhage of cerebrum, unspecified"
2895,33524,G1223,G12.23,primary lateral sclerosis
2896,65933,O753,O75.3,other infection during labor
2897,9617,T375X4A,T37.5X,"poisoning by, adverse effect of and underdosing of antiviral drugs"
2898,64684,O9089,O90.89,"other complications of the puerperium, not elsewhere classified"
2899,9531,S242XXA,S24.2,injury of nerve root of thoracic spine
2900,31501,R480,R48.0,dyslexia and alexia
2901,9554,S4440XA,S44.40,"injury of musculocutaneous nerve, unspecified arm"
2902,32727,G4737,G47.37,central sleep apnea in conditions classified elsewhere
2903,1976,C786,C78.6,secondary malignant neoplasm of retroperitoneum and peritoneum
2904,84849,S23428A,S23.42,sprain of sternum
2905,37410,H02109,H02.10,unspecified ectropion of eyelid
2906,31500,F810,F81.0,specific reading disorder
2907,V482,R6889,R68.89,other general symptoms and signs
2908,V8904,Z0374,Z03.74,encounter for suspected problem with fetal growth ruled out
2909,2979,F23,F23,brief psychotic disorder
2910,59001,N118,N11.8,other chronic tubulo-interstitial nephritis
2911,3951,I061,I06.1,rheumatic aortic insufficiency
2912,5162,J8402,J84.02,pulmonary alveolar microlithiasis
2913,2662,E538,E53.8,deficiency of other specified b group vitamins
2914,04119,B957,B95.7,other staphylococcus as the cause of diseases classified elsewhere
2915,99567,T7807XA,T78.07,anaphylactic reaction due to milk and dairy products
2916,20781,C9481,C94.81,"other specified leukemias, in remission"
2917,78963,R10823,R10.82,rebound abdominal tenderness
2918,9194,T07XXXA,T07,unspecified multiple injuries
2919,92811,S8700XA,S87.00,crushing injury of unspecified knee
2920,73309,M818,M81.8,other osteoporosis without current pathological fracture
2921,37501,H04019,H04.01,acute dacryoadenitis
2922,31401,F909,F90.9,"attention-deficit hyperactivity disorder, unspecified type"
2923,7591,Q891,Q89.1,congenital malformations of adrenal gland
2924,82030,S72109C,S72.10,unspecified trochanteric fracture of femur
2925,84201,S63519A,S63.51,sprain of carpal (joint)
2926,4329,I629,I62.9,"nontraumatic intracranial hemorrhage, unspecified"
2927,6210,N840,N84.0,polyp of corpus uteri
2928,51881,J9690,J96.90,"respiratory failure, unspecified, unspecified whether with hypoxia or hypercapnia"
2929,E9221,W3301XA,W33.01,accidental discharge of shotgun
2930,V700,Z0000,Z00.00,encounter for general adult medical examination without abnormal findings
2931,27702,E840,E84.0,cystic fibrosis with pulmonary manifestations
2932,V655,Z711,Z71.1,person with feared health complaint in whom no diagnosis is made
2933,01192,A150,A15.0,tuberculosis of lung
2934,V1911,Z83511,Z83.51,family history of eye disorders
2935,E9550,X72XXXA,X72,intentional self-harm by handgun discharge
2936,7930,R930,R93.0,"abnormal findings on diagnostic imaging of skull and head, not elsewhere classified"
2937,64641,O26823,O26.82,pregnancy related peripheral neuritis
2938,20000,C8339,C83.39,"diffuse large b-cell lymphoma, extranodal and solid organ sites"
2939,69461,L121,L12.1,cicatricial pemphigoid
2940,1886,C676,C67.6,malignant neoplasm of ureteric orifice
2941,71219,M1189,M11.89,"other specified crystal arthropathies, multiple sites"
2942,09952,A563,A56.3,chlamydial infection of anus and rectum
2943,42611,I440,I44.0,"atrioventricular block, first degree"
2944,27501,E83110,E83.11,hemochromatosis
2945,8260,S92506A,S92.50,unspecified fracture of lesser toe(s)
2946,09484,A5215,A52.15,late syphilitic neuropathy
2947,075,B2790,B27.90,"infectious mononucleosis, unspecified without complication"
2948,53270,K267,K26.7,chronic duodenal ulcer without hemorrhage or perforation
2949,5771,K861,K86.1,other chronic pancreatitis
2950,27402,M1A9XX0,M1A.9,"chronic gout, unspecified"
2951,36645,H2630,H26.30,"drug-induced cataract, unspecified eye"
2952,20966,D3A095,D3A.09,benign carcinoid tumors of other sites
2953,83202,S53026A,S53.02,posterior subluxation and dislocation of radial head
2954,8025,S0240FB,S02.40,"fracture of malar, maxillary and zygoma bones, unspecified"
2955,E8163,V285XXA,V28.5,motorcycle passenger injured in noncollision transport accident in traffic accident
2956,2861,D67,D67,hereditary factor ix deficiency
2957,7913,R821,R82.1,myoglobinuria
2958,5954,N3081,N30.81,other cystitis with hematuria
2959,7091,L959,L95.9,"vasculitis limited to the skin, unspecified"
2960,E9222,W3302XA,W33.02,accidental discharge of hunting rifle
2961,E8641,T51.8X,T51.8X,toxic effect of other alcohols
2962,2521,E209,E20.9,"hypoparathyroidism, unspecified"
2963,41051,I2129,I21.29,st elevation (stemi) myocardial infarction involving other sites
2964,79675,R8581,R85.81,anal high risk human papillomavirus (hpv) dna test positive
2965,33901,G44019,G44.01,episodic cluster headache
2966,84219,S638X9A,S63.8X,sprain of other part of wrist and hand
2967,45931,I87319,I87.31,chronic venous hypertension (idiopathic) with ulcer
2968,01005,A157,A15.7,primary respiratory tuberculosis
2969,9555,S5430XA,S54.30,"injury of cutaneous sensory nerve at forearm level, unspecified arm"
2970,44489,I748,I74.8,embolism and thrombosis of other arteries
2971,79094,E0781,E07.81,sick-euthyroid syndrome
2972,56039,K5649,K56.49,other impaction of intestine
2973,1520,C170,C17.0,malignant neoplasm of duodenum
2974,47821,J391,J39.1,other abscess of pharynx
2975,80134,S02109A,S02.10,unspecified fracture of base of skull
2976,3313,G910,G91.0,communicating hydrocephalus
2977,E8122,V2949XA,V29.49,motorcycle driver injured in collision with other motor vehicles in traffic accident
2978,E8795,Y845,Y84.5,"insertion of gastric or duodenal sound as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
2979,67151,O2293,O22.93,"venous complication in pregnancy, unspecified, third trimester"
2980,9510,S0410XA,S04.10,"injury of oculomotor nerve, unspecified side"
2981,66041,O660,O66.0,obstructed labor due to shoulder dystocia
2982,99661,T827XXA,T82.7,"infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts"
2983,V7101,Z0389,Z03.89,encounter for observation for other suspected diseases and conditions ruled out
2984,07983,B343,B34.3,"parvovirus infection, unspecified"
2985,V045,Z23,Z23,encounter for immunization
2986,7039,L609,L60.9,"nail disorder, unspecified"
2987,33989,G4489,G44.89,other headache syndrome
2988,4423,I724,I72.4,aneurysm of artery of lower extremity
2989,E8981,X0819XA,X08.19,exposure to sofa fire due to other burning material
2990,64681,O9989,O99.89,"other specified diseases and conditions complicating pregnancy, childbirth and the puerperium"
2991,V1085,Z85841,Z85.84,personal history of malignant neoplasm of eye and nervous tissue
2992,E8853,V00321A,V00.32,snow-ski accident
2993,47833,J3802,J38.02,"paralysis of vocal cords and larynx, bilateral"
2994,1702,C412,C41.2,malignant neoplasm of vertebral column
2995,2571,E895,E89.5,postprocedural testicular hypofunction
2996,7318,M9080,M90.80,"osteopathy in diseases classified elsewhere, unspecified site"
